Name,Peak CCU,Price,Reviews,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Categories,Genres,Tags
Peep Invasion,0,4.99,,0,0,0,0,7,0,"Single-player,Family Sharing","Casual,Indie,Strategy",
NeverGoingHome,0,3.99,,0,0,0,0,4,0,"Single-player,Steam Achievements,Family Sharing","Action,Indie",
è±†è…è„‘æ¨¡æ‹Ÿå™¨ Tofu Pudding Simulator,0,1.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Indie,Simulation,Strategy",
Mr. Triangle's Maze,0,0,,0,0,0,0,6,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Casual,Indie",
Moon River,0,3.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Adventure,Casual,Indie",
Cathy Et Les Autres Playtest,0,0,,0,0,0,0,0,0,,,
PandaSG,0,0.99,,0,0,0,0,0,0,"Single-player,Family Sharing","Action,Casual,Indie,RPG,Early Access",
Space Prison Playtest,0,0,,0,0,0,0,0,0,,,
Galaxy of Pen & Paper +1,0,0,"â€œThis is the best installment in the series so far, and I applaud Behold for using some of the awesomeness of Chroma Squad to make Galaxy even more incredible.â€ 9/10 â€“ Brash Games â€œIt's slick, it's superbly polished, and the new ideas it throws into the mix will have you enthralled from the first digital dice-roll to the last.â€ Pocket Gamer â€œBehold Studios has kicked things up a notch for this game. The music and presentation are a cut above the older games, the humor is on point, and theyâ€™ve worked in a special system for ship battles.â€ Kotaku",0,0,0,0,34,318,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Family Sharing","Indie,RPG",
War Tortoise,0,12.99,,0,0,0,0,0,101,"Single-player,Full controller support,Steam Cloud,Family Sharing",Action,
Starpoint Gemini 2,0,34.99,"â€œ...one of the most positive and relaxing game experiences Iâ€™ve had in a long timeâ€ 80 â€“ PC Gamer â€œâ€¦ if youâ€™re the kind of gamer who really enjoyed the likes of Freelancer and the X-series, then youâ€™ll want to keep an eye on this game.â€ Escapist Magazine â€œ...largely nails that feeling of being a grizzled starship captain who doesn't play by the rules, making his living any way he can.â€ 75 â€“ Strategy Informer",70,0,0,0,52,2983,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Family Sharing","Action,RPG,Simulation",
